,Punk,Rarity,Genre,Skin,Traits,Owned_by
6121,CryptoPunk #6121,"2,542",Male,Dark-skinned,"['ClownHairGreen', 'Goat']",0x41497f
6122,CryptoPunk #6122,"6,697",Male,Dark-skinned,"['Earring', 'Mustache', 'WildHair']",0x4bbb41
6123,CryptoPunk #6123,"6,566",Male,Mid-skinned,"['Bandana', 'LuxuriousBeard']",0x28784d
6124,CryptoPunk #6124,"5,865",Male,Light-skinned,"['Do-rag', 'Vape']",0xA73dc2
6125,CryptoPunk #6125,"8,400",Female,Dark-skinned,"['BlackLipstick', 'Cigarette', 'ClownEyesGreen', 'FrumpyHair']",0x269616
6126,CryptoPunk #6126,"8,305",Male,Dark-skinned,"['Earring', 'MessyHair', 'ShadowBeard', 'SmallShades']",0x7A3960
6127,CryptoPunk #6127,"8,368",Male,Mid-skinned,"['ClownEyesGreen', 'Earring', 'MohawkDark']",0xc30bE7
6128,CryptoPunk #6128,"4,037",Male,Dark-skinned,"['EyePatch', 'PoliceCap']",0xa25803
6129,CryptoPunk #6129,"6,311",Male,Mid-skinned,"['Do-rag', 'LuxuriousBeard', 'RegularShades']",0x9FDf72
6130,CryptoPunk #6130,"6,039",Male,Light-skinned,"['FrontBeard', 'MohawkDark']",0xa34D2d
6131,CryptoPunk #6131,"4,466",Male,Light-skinned,"['Earring', 'Goat', 'HornedRimGlasses']",0x1dD271
6132,CryptoPunk #6132,"7,962",Male,Mid-skinned,"['Cigarette', 'MohawkThin', 'ShadowBeard', 'VR']",0x44FAb5
6133,CryptoPunk #6133,"3,592",Female,Mid-skinned,"['HotLipstick', 'PurpleEyeShadow', 'TassleHat']",0x9674ED
6134,CryptoPunk #6134,"7,722",Male,Albino-skinned,"['FrumpyHair', 'Muttonchops']",0xC52650
6135,CryptoPunk #6135,"4,914",Male,Mid-skinned,"['Hoodie', 'Muttonchops', 'RegularShades']",0x362B35
6136,CryptoPunk #6136,"5,712",Female,Light-skinned,"['Bandana', 'BlackLipstick', 'BlueEyeShadow']",0xEE05F6
6137,CryptoPunk #6137,"4,868",Male,Mid-skinned,"['Hoodie', 'NormalBeardBlack', 'SmallShades']",0x32Cc2E
6138,CryptoPunk #6138,"3,235",Male,Light-skinned,"['Earring', 'HornedRimGlasses', 'PurpleHair', 'ShadowBeard', 'HiddenEarring']",0x41497f
6139,CryptoPunk #6139,929,Male,Albino-skinned,"['Mohawk', 'NormalBeardBlack', 'Spots']",0x9Dbe56
6140,CryptoPunk #6140,918,Male,Dark-skinned,"['Frown', 'Spots', 'WildHair']",0x03F63b
6141,CryptoPunk #6141,691,Female,Light-skinned,"['PinkWithHat', 'Pipe', 'PurpleLipstick']",0x717403
6142,CryptoPunk #6142,"7,670",Male,Light-skinned,"['Cigarette', 'ClownEyesBlue', 'Earring', 'PeakSpike']",0x88B79c
6143,CryptoPunk #6143,"5,842",Male,Dark-skinned,"['Earring', 'MohawkThin', 'Mustache', 'Vape']",0x1E36A5
6144,CryptoPunk #6144,"3,670",Female,Dark-skinned,"['ClownEyesBlue', 'Earring', 'HotLipstick', 'TassleHat', 'HiddenEarring']",0x6301Ad
6145,CryptoPunk #6145,48,Ape,Ape-skinned,"['Cap', 'Cigarette', 'Earring']",0x7760E0
6146,CryptoPunk #6146,"2,913",Male,Dark-skinned,"['Do-rag', 'ShadowBeard', 'SilverChain']",0x6301Ad
6147,CryptoPunk #6147,"7,410",Male,Albino-skinned,"['Do-rag', 'VR']",0x730FdE
6148,CryptoPunk #6148,"4,178",Male,Light-skinned,"['ClownNose', 'Mohawk']",0x51688C
6149,CryptoPunk #6149,"9,798",Female,Albino-skinned,"['BigShades', 'StringyHair']",0xCC7C33
6150,CryptoPunk #6150,"2,569",Female,Mid-skinned,"['ClownEyesGreen', 'PurpleLipstick', 'StraightHairDark']",0xbaC42c
6151,CryptoPunk #6151,"4,804",Male,Albino-skinned,"['DGlasses', 'Handlebars', 'Hoodie']",0xD79b93
6152,CryptoPunk #6152,"3,509",Female,Dark-skinned,"['BlueEyeShadow', 'MedicalMask', 'StringyHair']",0xdf6754
6153,CryptoPunk #6153,27,Male,Mid-skinned,"['ClownNose', 'Earring', 'Goat', 'HornedRimGlasses', 'MedicalMask', 'MessyHair']",0xCffC33
6154,CryptoPunk #6154,"1,808",Male,Dark-skinned,"['BigBeard', 'ClownEyesBlue', 'PeakSpike']",0x2Ae826
6155,CryptoPunk #6155,"1,990",Female,Light-skinned,"['BlondeBob', 'BlueEyeShadow', 'Cigarette']",0x4084dF
6156,CryptoPunk #6156,"2,921",Male,Mid-skinned,"['ShavedHead', 'SilverChain']",0xd6a984
6157,CryptoPunk #6157,"9,886",Male,Dark-skinned,"['Bandana', 'ClassicShades']",0xC01c78
6158,CryptoPunk #6158,"2,487",Female,Mid-skinned,"['BlueEyeShadow', 'StraightHairDark']",0xe5546f
6159,CryptoPunk #6159,"6,457",Male,Dark-skinned,"['DGlasses', 'Earring', 'MohawkThin']",0x0DA0DF
6160,CryptoPunk #6160,"7,854",Male,Light-skinned,"['EyePatch', 'KnittedCap', 'Pipe']",0xe35C3D
6161,CryptoPunk #6161,"8,766",Female,Light-skinned,"['CrazyHair', 'HornedRimGlasses']",0xaaA3F0
6162,CryptoPunk #6162,"1,839",Male,Light-skinned,"['BigBeard', 'Earring', 'HornedRimGlasses', 'KnittedCap']",0xA9c206
6163,CryptoPunk #6163,637,Female,Dark-skinned,"['Mole', 'Pigtails']",0x577eBC
6164,CryptoPunk #6164,114,Female,Dark-skinned,"['BlondeBob', 'Choker', 'Cigarette']",0xD79b93
6165,CryptoPunk #6165,250,Female,Light-skinned,"['Earring', 'Tiara']",0x6C22fa
6166,CryptoPunk #6166,"4,866",Male,Mid-skinned,"['EyeMask', 'Hoodie', 'NormalBeardBlack']",0x407f0c
6167,CryptoPunk #6167,"5,066",Male,Light-skinned,"['Cap', 'FrontBeardDark']",0xA351a4
6168,CryptoPunk #6168,"6,012",Male,Dark-skinned,"['FrontBeard', 'Headband', 'NerdGlasses']",0x6611fE
6169,CryptoPunk #6169,"2,741",Female,Mid-skinned,"['PurpleEyeShadow', 'StraightHair']",0x94de7E
6170,CryptoPunk #6170,"7,909",Female,Dark-skinned,"['MessyHair', 'Pipe']",0x935522
6171,CryptoPunk #6171,"6,173",Male,Mid-skinned,"['Chinstrap', 'Mohawk', 'SmallShades']",0x8E27bD
6172,CryptoPunk #6172,"6,841",Male,Dark-skinned,"['Earring', 'Mohawk', 'NerdGlasses', 'NormalBeardBlack']",0xa25803
6173,CryptoPunk #6173,"3,554",Male,Dark-skinned,"['MedicalMask', 'MohawkDark']",0xa25803
6174,CryptoPunk #6174,"3,841",Male,Mid-skinned,"['Fedora', 'Muttonchops', 'SmallShades']",0x758353
6175,CryptoPunk #6175,"8,725",Female,Mid-skinned,"['ClassicShades', 'CrazyHair', 'Earring']",0x4084dF
6176,CryptoPunk #6176,"5,506",Male,Mid-skinned,"['Handlebars', 'VR', 'WildHair']",0x41497f
6177,CryptoPunk #6177,"9,494",Male,Light-skinned,"['RegularShades', 'ShadowBeard', 'WildHair']",0x1d28A7
6178,CryptoPunk #6178,"2,721",Female,Mid-skinned,"['ClassicShades', 'Earring', 'MedicalMask', 'StraightHair', 'HiddenEarring']",0x2cc123
6179,CryptoPunk #6179,"7,191",Male,Mid-skinned,"['Cigarette', 'EyeMask', 'StringyHair']",0x983F0c
6180,CryptoPunk #6180,"6,432",Male,Light-skinned,"['KnittedCap', 'LuxuriousBeard']",0x64756A
6181,CryptoPunk #6181,"4,112",Male,Dark-skinned,"['ClownNose', 'FrontBeard', 'StringyHair']",0xCC7C33
6182,CryptoPunk #6182,209,Female,Mid-skinned,"['GreenEyeShadow', 'Tiara']",0xCffC33
6183,CryptoPunk #6183,"2,770",Female,Light-skinned,"['Pipe', 'StraightHair', 'VR']",0x064cfC
6184,CryptoPunk #6184,"1,537",Female,Light-skinned,"['GreenEyeShadow', 'Pipe', 'WildBlonde']",0xC2F87f
6185,CryptoPunk #6185,"7,031",Male,Light-skinned,"['MohawkThin', 'NormalBeard']",0x20Ee31
6186,CryptoPunk #6186,"2,217",Female,Mid-skinned,"['ClownEyesBlue', 'Earring', 'RedMohawk']",0xCC7C33
6187,CryptoPunk #6187,"1,602",Female,Albino-skinned,"['ClownEyesGreen', 'StraightHairBlonde']",0x98e639
6188,CryptoPunk #6188,"1,022",Male,Mid-skinned,"['Earring', 'FrontBeardDark', 'RosyCheeks', 'ShavedHead']",0xfe0D9a
6189,CryptoPunk #6189,"3,894",Male,Light-skinned,"['BigShades', 'Fedora']",0x0DA0DF
6190,CryptoPunk #6190,"3,740",Female,Albino-skinned,"['Cigarette', 'Earring', 'TassleHat', 'HiddenEarring']",0x96B48F
6191,CryptoPunk #6191,"2,359",Female,Light-skinned,"['HalfShaved', 'HotLipstick', 'Mole']",0x72fAD4
6192,CryptoPunk #6192,"5,622",Male,Dark-skinned,"['Bandana', 'Handlebars']",0xB09861
6193,CryptoPunk #6193,"5,154",Male,Dark-skinned,"['Earring', 'EyePatch', 'FrontBeardDark', 'StringyHair']",0x269616
6194,CryptoPunk #6194,"1,846",Male,Light-skinned,"['BigBeard', 'EyePatch', 'MohawkThin']",0xbbaf6D
6195,CryptoPunk #6195,"7,281",Male,Mid-skinned,"['BigShades', 'CrazyHair', 'Earring', 'Goat']",0xb94F56
6196,CryptoPunk #6196,"6,381",Male,Light-skinned,"['ClownEyesBlue', 'KnittedCap', 'LuxuriousBeard']",0xf4F1dC
6197,CryptoPunk #6197,"8,354",Female,Dark-skinned,"['ClownEyesGreen', 'KnittedCap']",0xd8AEc9
6198,CryptoPunk #6198,"7,554",Male,Dark-skinned,"['Do-rag', 'HornedRimGlasses']",0x269616
6199,CryptoPunk #6199,965,Female,Dark-skinned,"['FrumpyHair', 'Spots']",0x577eBC
6200,CryptoPunk #6200,"3,447",Male,Dark-skinned,"['BigShades', 'GoldChain', 'Mohawk']",0xDde8DF
6201,CryptoPunk #6201,"2,623",Female,Mid-skinned,"['RegularShades', 'StraightHairDark']",0x26f744
6202,CryptoPunk #6202,"7,399",Male,Albino-skinned,"['BigShades', 'Pipe', 'ShavedHead']",0x679220
6203,CryptoPunk #6203,"5,188",Male,Light-skinned,"['Chinstrap', 'Frown', 'HornedRimGlasses', 'MohawkDark']",0x68A7Ac
6204,CryptoPunk #6204,"1,371",Male,Light-skinned,"['CowboyHat', 'FrontBeard', 'SmallShades']",0x3f1724
6205,CryptoPunk #6205,"5,377",Female,Dark-skinned,"['HotLipstick', 'MohawkDark', 'PurpleEyeShadow']",0x438CA4
6206,CryptoPunk #6206,"4,399",Female,Dark-skinned,"['HotLipstick', 'PurpleEyeShadow']",0xcf0Ee1
6207,CryptoPunk #6207,"7,415",Male,Light-skinned,"['ShavedHead', 'VR']",0xB3958C
6208,CryptoPunk #6208,"4,565",Male,Mid-skinned,"['Earring', 'ShadowBeard']",0x7a341c
6209,CryptoPunk #6209,"7,110",Male,Light-skinned,"['Cap', 'EyeMask', 'Pipe']",0x299937
6210,CryptoPunk #6210,"3,582",Male,Mid-skinned,"['Bandana', 'ClassicShades', 'MedicalMask']",0x2E0D63
6211,CryptoPunk #6211,"5,545",Male,Dark-skinned,"['EyePatch', 'Handlebars', 'KnittedCap']",0x2E0D63
6212,CryptoPunk #6212,"7,647",Male,Light-skinned,"['Cap', 'Muttonchops']",0x3BE89b
6213,CryptoPunk #6213,"9,775",Male,Light-skinned,"['HornedRimGlasses', 'ShadowBeard', 'StringyHair']",0xC2380d
6214,CryptoPunk #6214,"4,672",Male,Mid-skinned,"['CapForward', 'EyeMask', 'Goat']",0x19F233
6215,CryptoPunk #6215,"1,165",Female,Light-skinned,"['BlondeShort', 'PurpleLipstick', 'RegularShades']",0x298f99
6216,CryptoPunk #6216,"1,536",Female,Albino-skinned,"['GreenEyeShadow', 'StraightHairBlonde', 'Vape']",0x2cc123
6217,CryptoPunk #6217,"7,901",Male,Light-skinned,"['Earring', 'Pipe', 'WildHair']",0xb733E5
6218,CryptoPunk #6218,"1,465",Male,Light-skinned,"['CowboyHat', 'Earring', 'Mole', 'NerdGlasses']",0x96ff1d
6219,CryptoPunk #6219,948,Male,Albino-skinned,"['Cigarette', 'CrazyHair', 'Spots']",0x415424
6220,CryptoPunk #6220,"7,041",Male,Albino-skinned,"['FrumpyHair', 'NormalBeard']",0x4bbb41
6221,CryptoPunk #6221,"2,017",Female,Dark-skinned,"['Cigarette', 'Earring', 'GreenEyeShadow', 'HalfShaved', 'HiddenEarring']",0xB9CcEA
6222,CryptoPunk #6222,"8,330",Male,Albino-skinned,"['ClownEyesGreen', 'Earring', 'Headband']",0x69021A
6223,CryptoPunk #6223,"5,408",Female,Light-skinned,"['BlackLipstick', 'PurpleEyeShadow', 'WildHair']",0xa25803
6224,CryptoPunk #6224,"2,719",Female,Dark-skinned,"['ClownEyesGreen', 'Earring', 'MedicalMask', 'StraightHair', 'HiddenEarring']",Opensea
6225,CryptoPunk #6225,"4,478",Male,Light-skinned,['Pipe'],0x31a5Ff
6226,CryptoPunk #6226,"3,236",Male,Mid-skinned,"['Earring', 'HornedRimGlasses', 'PurpleHair', 'ShadowBeard', 'HiddenEarring']",0x0E9AED
6227,CryptoPunk #6227,"6,395",Female,Mid-skinned,"['DGlasses', 'Headband']",0x2f7f6F
6228,CryptoPunk #6228,"6,792",Male,Mid-skinned,"['ClassicShades', 'Headband', 'NormalBeardBlack']",0xB4079f
6229,CryptoPunk #6229,"3,304",Male,Dark-skinned,"['Cigarette', 'Earring', 'EyePatch', 'KnittedCap', 'Smile']",0x717403
6230,CryptoPunk #6230,"9,318",Female,Dark-skinned,"['Cigarette', 'Mohawk']",0x231d68
6231,CryptoPunk #6231,113,Female,Mid-skinned,"['Choker', 'HalfShaved', 'HotLipstick']",0x6C22fa
6232,CryptoPunk #6232,"6,567",Male,Mid-skinned,"['DGlasses', 'Bandana']",0xa25803
6233,CryptoPunk #6233,"4,033",Male,Dark-skinned,"['Cigarette', 'EyePatch', 'PoliceCap', 'ShadowBeard']",0xc35A5F
