punk_id,Trait
168,'BlondeBob'
168,'BlueEyeShadow'
168,'SilverChain'
169,'HotLipstick'
169,'RegularShades'
169,'WildWhiteHair'
170,'ClassicShades'
170,'Mole'
170,'PeakSpike'
171,'Earring'
171,'Mole'
171,'StringyHair'
172,'DGlasses'
172,'BlondeBob'
172,'PurpleLipstick'
173,'ClownEyesBlue'
173,'HotLipstick'
173,'MessyHair'
173,'Mole'
173,'Pipe'
174,'Earring'
174,'HornedRimGlasses'
174,'WildHair'
175,'BigShades'
175,'Cap'
176,'Earring'
176,'PurpleLipstick'
176,'RegularShades'
176,'WildHair'
176,'HiddenEarring'
177,'Bandana'
177,'LuxuriousBeard'
178,'Fedora'
179,'ClassicShades'
179,'MohawkThin'
179,'ShadowBeard'
180,'HotLipstick'
180,'PilotHelmet'
181,'Mohawk'
182,'PeakSpike'
183,'ShadowBeard'
184,'BlondeBob'
184,'GreenEyeShadow'
185,'HotLipstick'
185,'WildWhiteHair'
186,'CrazyHair'
186,'Mustache'
187,'StraightHair'
188,'Earring'
188,'NerdGlasses'
188,'PeakSpike'
189,'MohawkThin'
189,'PurpleLipstick'
190,'Headband'
191,'Mohawk'
192,'ClownNose'
192,'Earring'
192,'MohawkThin'
192,'NerdGlasses'
193,'Earring'
193,'GreenEyeShadow'
193,'TassleHat'
193,'HiddenEarring'
194,'ClownEyesGreen'
194,'WildHair'
195,'NerdGlasses'
195,'StraightHairBlonde'
196,'BigShades'
196,'HotLipstick'
196,'TassleHat'
197,'EyePatch'
197,'FrumpyHair'
198,'Beanie'
198,'LuxuriousBeard'
199,'BlondeShort'
199,'ClassicShades'
200,'WildHair'
201,'BlueEyeShadow'
201,'Cigarette'
201,'DarkHair'
201,'HotLipstick'
202,'Earring'
202,'Headband'
202,'PurpleLipstick'
203,'FrontBeard'
203,'MessyHair'
203,'RegularShades'
204,'CrazyHair'
204,'RegularShades'
205,'BigShades'
205,'MohawkDark'
205,'NormalBeardBlack'
206,'CapForward'
206,'Cigarette'
206,'ClownNose'
207,'EyePatch'
207,'PeakSpike'
207,'Pipe'
208,'DGlasses'
208,'Earring'
208,'ShavedHead'
209,'HotLipstick'
209,'StringyHair'
210,'Earring'
210,'StraightHairDark'
210,'HiddenEarring'
211,'Goat'
211,'MohawkThin'
212,'CrazyHair'
212,'HotLipstick'
213,'CrazyHair'
214,'FrontBeardDark'
214,'Mohawk'
215,'Mohawk'
216,'Bandana'
217,'Chinstrap'
217,'Earring'
217,'MohawkDark'
218,'Cap'
218,'Handlebars'
218,'Mole'
218,'RegularShades'
219,'Bandana'
219,'ClownEyesBlue'
219,'Earring'
219,'RosyCheeks'
220,'BigShades'
220,'Headband'
221,'Cigarette'
221,'ClassicShades'
221,'Muttonchops'
221,'StringyHair'
222,'Do-rag'
222,'Pipe'
222,'SmallShades'
223,'CrazyHair'
223,'NerdGlasses'
223,'NormalBeard'
224,'Cigarette'
224,'Earring'
224,'Headband'
224,'NerdGlasses'
225,'Earring'
225,'HotLipstick'
225,'OrangeSide'
225,'HiddenEarring'
226,'HotLipstick'
227,'WildWhiteHair'
228,'PeakSpike'
228,'SmallShades'
229,'Cigarette'
229,'MessyHair'
230,'KnittedCap'
230,'LuxuriousBeard'
231,'Earring'
231,'Pipe'
231,'StringyHair'
232,'BlueEyeShadow'
232,'WildHair'
233,'Bandana'
233,'HotLipstick'
234,'KnittedCap'
234,'NerdGlasses'
235,'Cigarette'
235,'FrumpyHair'
236,'Muttonchops'
236,'VampireHair'
237,'Mohawk'
237,'RegularShades'
238,'ClownEyesGreen'
238,'StraightHairDark'
239,'Frown'
239,'Goat'
239,'Mohawk'
240,'BigShades'
240,'StraightHairBlonde'
241,'WildBlonde'
242,'BlackLipstick'
242,'StringyHair'
243,'Cigarette'
243,'Earring'
243,'FrontBeard'
243,'PoliceCap'
244,'PurpleLipstick'
244,'RegularShades'
244,'WildHair'
245,'DarkHair'
246,'Bandana'
246,'Earring'
246,'LuxuriousBeard'
247,'GreenEyeShadow'
247,'MohawkDark'
248,'MessyHair'
248,'PurpleEyeShadow'
249,'OrangeSide'
250,'ClownEyesGreen'
250,'Earring'
250,'FrumpyHair'
250,'HiddenEarring'
251,'GreenEyeShadow'
251,'MohawkDark'
252,'CapForward'
252,'Mole'
253,'BlondeShort'
253,'ClownEyesGreen'
254,'Fedora'
255,'Mustache'
255,'ShavedHead'
256,'Earring'
256,'EyePatch'
256,'Fedora'
256,'Vape'
257,'Cap'
257,'Frown'
258,'CapForward'
258,'Handlebars'
259,'CapForward'
259,'Earring'
259,'EyeMask'
260,'DGlasses'
260,'PurpleHair'
261,'BlackLipstick'
261,'WildWhiteHair'
262,'BlondeShort'
262,'RegularShades'
263,'MessyHair'
263,'Muttonchops'
264,'Earring'
264,'WildWhiteHair'
264,'HiddenEarring'
265,'CapForward'
265,'Earring'
265,'GoldChain'
266,'Do-rag'
266,'Earring'
266,'SmallShades'
267,'ClownNose'
267,'Fedora'
268,'KnittedCap'
269,'Earring'
269,'Hoodie'
269,'LuxuriousBeard'
269,'SmallShades'
269,'HiddenEarring'
270,'ClownEyesBlue'
270,'RedMohawk'
271,'StringyHair'
272,'BuckTeeth'
272,'MessyHair'
273,'BigShades'
273,'CapForward'
274,'Cap'
274,'Earring'
274,'Handlebars'
274,'RegularShades'
275,'PurpleEyeShadow'
275,'PurpleLipstick'
275,'StringyHair'
276,'CrazyHair'
277,'RedMohawk'
278,'BlackLipstick'
278,'StraightHairDark'
279,'BlueEyeShadow'
279,'PurpleLipstick'
279,'StraightHairBlonde'
280,'Earring'
281,''
282,'ClassicShades'
282,'StraightHairDark'
283,'FrumpyHair'
283,'HotLipstick'
284,'MohawkThin'
285,'DarkHair'
285,'PurpleLipstick'
286,'Goat'
286,'WildHair'
287,'Cigarette'
287,'Mohawk'
287,'PurpleEyeShadow'
288,'ShavedHead'
289,'EyePatch'
289,'MohawkThin'
290,'WildBlonde'
291,'Earring'
291,'MohawkThin'
292,'BlackLipstick'
292,'TassleHat'
293,'Handlebars'
293,'MohawkDark'
294,'BigShades'
294,'Earring'
294,'Hoodie'
294,'HiddenEarring'
295,'Frown'
295,'ShavedHead'
296,'MohawkThin'
297,'CrazyHair'
297,'Muttonchops'
298,'HalfShaved'
299,'Do-rag'
299,'Muttonchops'
300,'Goat'
300,'Headband'
301,'GreenEyeShadow'
301,'HotLipstick'
301,'RedMohawk'
302,'Bandana'
302,'BlueEyeShadow'
302,'PurpleLipstick'
303,'PurpleLipstick'
303,'RedMohawk'
304,'PeakSpike'
304,'ShadowBeard'
305,'BlondeBob'
305,'PurpleLipstick'
305,'VR'
306,'Vape'
306,'WildHair'
307,'Chinstrap'
307,'FrumpyHair'
308,'HornedRimGlasses'
308,'MessyHair'
308,'Mole'
309,'BigShades'
309,'ShavedHead'
310,'Bandana'
310,'ClassicShades'
310,'Earring'
310,'Vape'
311,'FrontBeard'
311,'FrumpyHair'
312,'CapForward'
312,'Chinstrap'
313,'MohawkDark'
313,'PurpleLipstick'
314,'EyeMask'
314,'PoliceCap'
315,'BlackLipstick'
315,'Cigarette'
315,'WildWhiteHair'
316,'Bandana'
317,'Bandana'
317,'Chinstrap'
317,'Frown'
318,'Bandana'
318,'Cigarette'
318,'HotLipstick'
319,'Earring'
319,'StraightHairDark'
319,'HiddenEarring'
320,'StringyHair'
321,'PeakSpike'
322,'BlackLipstick'
322,'ClownEyesGreen'
322,'PinkWithHat'
323,'MohawkDark'
324,'BlondeBob'
324,'Earring'
324,'HotLipstick'
324,'HiddenEarring'
325,'Mustache'
325,'PoliceCap'
325,'SmallShades'
326,'Earring'
326,'HotLipstick'
326,'WildWhiteHair'
326,'HiddenEarring'
327,'CrazyHair'
328,'Bandana'
328,'HornedRimGlasses'
329,'Bandana'
329,'EyePatch'
330,'ClownEyesGreen'
330,'KnittedCap'
331,'Earring'
331,'PurpleLipstick'
331,'TassleHat'
331,'HiddenEarring'
332,'HornedRimGlasses'
332,'StringyHair'
333,'PurpleEyeShadow'
333,'PurpleLipstick'
333,'StraightHairBlonde'
334,'BigBeard'
334,'WildHair'
335,'ClownHairGreen'
336,'NerdGlasses'
336,'NormalBeard'
336,'TopHat'
337,'FrumpyHair'
338,'MessyHair'
338,'SmallShades'
339,'BigShades'
339,'BlackLipstick'
339,'Cap'
339,'Earring'
339,'Mole'
340,'DGlasses'
340,'Headband'
340,'MedicalMask'
340,'Muttonchops'
341,'Earring'
341,'MessyHair'
342,'Bandana'
342,'RegularShades'
343,'PoliceCap'
343,'ShadowBeard'
344,'Beanie'
345,'Earring'
345,'TassleHat'
345,'HiddenEarring'
346,'PurpleHair'
347,'HornedRimGlasses'
347,'KnittedCap'
348,'MessyHair'
348,'NerdGlasses'
348,'RosyCheeks'
349,'Earring'
349,'FrontBeardDark'
349,'MohawkDark'
350,'StringyHair'
351,'Goat'
351,'Mole'
351,'PurpleHair'
352,'GreenEyeShadow'
352,'StraightHair'
353,'Bandana'
353,'GreenEyeShadow'
354,'Cigarette'
354,'PoliceCap'
355,'BlackLipstick'
355,'GoldChain'
355,'GreenEyeShadow'
355,'WildWhiteHair'
356,'StringyHair'
357,'Earring'
357,'TassleHat'
357,'HiddenEarring'
358,'LuxuriousBeard'
358,'Mohawk'
358,'SmallShades'
359,'HotLipstick'
359,'MessyHair'
360,'Bandana'
360,'NormalBeardBlack'
361,'MohawkDark'
362,'EyeMask'
362,'PeakSpike'
362,'ShadowBeard'
363,'CowboyHat'
363,'NerdGlasses'
363,'ShadowBeard'
364,'Hoodie'
364,'NormalBeardBlack'
365,'Do-rag'
365,'NormalBeard'
366,'Earring'
366,'EyeMask'
366,'Mohawk'
367,'ClownHairGreen'
368,'FrumpyHair'
368,'PurpleLipstick'
369,'Earring'
369,'Fedora'
369,'LuxuriousBeard'
370,'Cigarette'
370,'PeakSpike'
370,'RosyCheeks'
370,'SmallShades'
371,'FrumpyHair'
372,'CapForward'
373,'Earring'
373,'Headband'
374,'Bandana'
374,'ClownEyesBlue'
375,'GreenEyeShadow'
375,'WildHair'
376,'HalfShaved'
376,'NerdGlasses'
377,'Cigarette'
377,'Earring'
377,'Headband'
377,'NormalBeard'
377,'RegularShades'
378,'Earring'
378,'FrumpyHair'
378,'HiddenEarring'
379,'Earring'
379,'MohawkThin'
379,'PurpleLipstick'
380,'BlackLipstick'
380,'Earring'
380,'WildHair'
380,'HiddenEarring'
381,'KnittedCap'
381,'PurpleLipstick'
382,'Cigarette'
382,'PilotHelmet'
383,'GreenEyeShadow'
383,'StraightHairBlonde'
384,'Bandana'
384,'ClassicShades'
384,'PurpleLipstick'
385,'Choker'
385,'WildHair'
386,'Do-rag'
386,'Earring'
387,'CapForward'
387,'GoldChain'
387,'Pipe'
388,'ClownEyesBlue'
388,'HotLipstick'
388,'StraightHairBlonde'
389,'Do-rag'
389,'RosyCheeks'
390,'MessyHair'
391,'BlackLipstick'
391,'EyeMask'
391,'WildBlonde'
392,'ShavedHead'
393,'CapForward'
393,'Cigarette'
