Punk_id,Rarity,Genre,Skin,Traits,Owned_by
9503,9347,Female,Dark,"['EyePatch', 'FrumpyHair']",0x744739
9504,2044,Male,Dark,"['VampireHair', 'Vape']",0xCC7C33
9505,7575,Male,Mid,"['Do-rag', 'NerdGlasses']",0xC6F6c8
9506,1638,Female,Light,"['Cigarette', 'ClassicShades', 'StraightHairBlonde']",0xf143e0
9507,2097,Male,Dark,"['EyeMask', 'ShadowBeard', 'VampireHair']",0xb87680
9508,4622,Male,Light,"['CapForward', 'Chinstrap', 'NerdGlasses']",0x61FEf9
9509,2091,Male,Light,"['EyePatch', 'NormalBeard', 'VampireHair']",0x758353
9510,1866,Male,Mid,"['BigBeard', 'WildHair']",0xe2DCF1
9511,1825,Male,Mid,"['BigBeard', 'EyePatch', 'Headband']",0xb30a44
9512,5988,Male,Light,"['EyePatch', 'FrontBeard', 'Headband', 'Pipe']",0x3e9dAc
9513,4889,Male,Albino,"['Hoodie', 'NormalBeard']",0x52aD8f
9514,2406,Female,Albino,"['BlondeBob', 'Cigarette']",0xD387A6
9515,622,Female,Light,"['ClassicShades', 'Pigtails']",0xC40dF8
9516,5240,Male,Dark,"['Frown', 'KnittedCap', 'Muttonchops', 'RegularShades']",0xa25803
9517,8614,Female,Albino,"['ClassicShades', 'Earring', 'Headband']",0x6611fE
9518,6701,Male,Light,"['EyePatch', 'MessyHair', 'Mustache']",0x20EADf
9519,7363,Male,Dark,"['Bandana', 'Goat', 'Mole', 'RegularShades']",0x8bE6ad
9520,639,Female,Albino,"['Pigtails', 'PurpleLipstick']",0xC40dF8
9521,5616,Male,Dark,"['Bandana', 'Handlebars', 'RegularShades']",0x24e267
9522,1101,Female,Light,"['BigShades', 'BlondeShort', 'MedicalMask']",0xC4A325
9523,9663,Female,Light,"['BigShades', 'MessyHair']",0xE5C4c4
9524,8987,Female,Light,"['BlackLipstick', 'MohawkDark', 'RegularShades']",0xb38071
9525,9747,Male,Mid,"['Bandana', 'Earring', 'EyePatch', 'ShadowBeard']",0xBD12b9
9526,2747,Female,Mid,"['BlueEyeShadow', 'HotLipstick', 'StraightHair']",0x005734
9527,6651,Male,Mid,"['Cigarette', 'KnittedCap', 'Mustache']",0x62175F
9528,6541,Male,Light,"['Cigarette', 'LuxuriousBeard', 'StringyHair']",0x4d26D1
9529,8017,Female,Dark,"['Bandana', 'HotLipstick', 'VR']",0x01Ec73
9530,762,Male,Mid,"['ClownNose', 'TopHat']",0xfAB9B8
9531,2709,Female,Mid,"['ClownHairGreen', 'Earring']",0xC272Ed
9532,8771,Female,Dark,"['BlackLipstick', 'CrazyHair', 'Earring', 'NerdGlasses']",0xad3875
9533,5835,Male,Dark,"['Bandana', 'FrontBeard', 'Vape']",0x2f2f23
9534,1889,Female,Light,"['HalfShaved', 'PurpleLipstick', 'SilverChain']",0xCC7C33
9535,6668,Male,Mid,"['MohawkDark', 'Mustache']",0x08D816
9536,3339,Male,Mid,"['Earring', 'FrontBeard', 'MessyHair', 'Mole', 'NerdGlasses']",0xBd4548
9537,6604,Male,Albino,"['Cap', 'Earring', 'Mustache', 'RegularShades']",0x794316
9538,3777,Male,Albino,"['Earring', 'Fedora', 'Handlebars']",0xA99A76
9539,696,Female,Light,"['ClownEyesGreen', 'PinkWithHat', 'PurpleLipstick']",0x7d4823
9540,5695,Female,Light,"['BlueEyeShadow', 'Earring', 'MessyHair', 'PurpleLipstick']",0x0EcEb7
9541,2093,Male,Albino,"['Mole', 'NormalBeard', 'VampireHair', 'HiddenMole']",0x96B48F
9542,7465,Male,Light,"['Earring', 'EyePatch', 'ShavedHead']",0xd5b171
9543,8719,Female,Light,"['BlackLipstick', 'ClassicShades', 'CrazyHair']",0x047966
9544,1576,Female,Light,"['Pipe', 'PurpleLipstick', 'StraightHairBlonde']",0x3FA5b6
9545,2417,Female,Mid,"['Cigarette', 'RedMohawk']",0x4Ef1aB
9546,647,Female,Light,"['Earring', 'HotLipstick', 'Pigtails']",0xdE0B9c
9547,1039,Male,Light,"['NormalBeardBlack', 'RegularShades', 'RosyCheeks', 'StringyHair']",0x030795
9548,7084,Male,Mid,"['Cigarette', 'Do-rag', 'EyeMask']",0xdEfBb4
9549,4566,Female,Albino,"['BigShades', 'BlackLipstick', 'Mole']",0x31a5Ff
9550,2599,Female,Mid,"['ClassicShades', 'Earring', 'HotLipstick', 'StraightHairDark', 'HiddenEarring']",0x584CDF
9551,8827,Male,Light,"['Cigarette', 'CrazyHair']",0x4084dF
9552,9225,Male,Albino,"['Earring', 'MohawkThin', 'NerdGlasses']",0xf64f0e
9553,7495,Male,Mid,"['RegularShades', 'ShadowBeard', 'ShavedHead']",0x606e83
9554,7939,Male,Mid,"['Headband', 'VR']",0xB47A70
9555,6903,Male,Dark,"['EyeMask', 'NormalBeard', 'ShavedHead']",0xdf6754
